iata,name,city,state,country,latitude,longitude
IKR,Kirtland Air Force Base,Kirtland A.f.b.,,USA,35.040222,-106.609194
GRF,Gray Aaf,Fort Lewis,,USA,47.079217,-122.580783
ADQ,Kodiak,Kodiak,,USA,57.749967,-152.493856
UPP,Upolu,Opolu,,USA,20.265256,-155.859989
FLL,Fort Lauderdale Hollywood Intl,Fort Lauderdale,FL,USA,26.072583,-80.15275
MKO,Davis Fld,Muskogee,,USA,35.656489,-95.366656
INL,Falls Intl,International Falls,,USA,48.566186,-93.403067
SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.788389,-111.977772
CDS,Childress Muni,Childress,,USA,34.433781,-100.287992
BIX,Keesler Afb,Biloxi,,USA,30.410425,-88.924433
LSF,Lawson Aaf,Fort Benning,,USA,32.337322,-84.991283
NQI,Kingsville Nas,Kingsville,,USA,27.507223,-97.809723
FRI,Marshall Aaf,Fort Riley,,USA,39.055275,-96.764453
MDT,Harrisburg Intl,Harrisburg,,USA,40.193494,-76.763403
LNK,Lincoln,Lincoln,,USA,40.850971,-96.75925
LAN,Capital City,Lansing,,USA,42.7787,-84.587357
MUE,Waimea Kohala,Kamuela,,USA,20.001328,-155.668108
MSS,Massena Intl Richards Fld,Massena,,USA,44.935833,-74.845547
HKY,Hickory Rgnl,Hickory,,USA,35.741147,-81.38955
SPG,Albert Whitted,St. Petersburg,,USA,27.765111,-82.626972
FMY,Page Fld,Fort Myers,,USA,26.586611,-81.86325
IAH,George Bush Intercontinental,Houston,TX,USA,29.984433,-95.341442
MLT,Millinocket Muni,Millinocket,,USA,45.647836,-68.685561
ADW,Andrews Afb,Camp Springs,,USA,38.810806,-76.867028
INT,Smith Reynolds,Winston-salem,,USA,36.133722,-80.222
VCV,Southern California Logistics,Victorville,,USA,34.597453,-117.382997
CEW,Bob Sikes,Crestview,,USA,30.778833,-86.522111
GTB,Wheeler Sack Aaf,Fort Drum,,USA,44.055619,-75.719458
PHN,St Clair Co Intl,Port Huron,,USA,42.910957,-82.528862
BFL,Meadows Fld,Bakersfield,,USA,35.433598,-119.05677
ELP,El Paso Intl,El Paso,,USA,31.80725,-106.377583
HRL,Valley Intl,Harlingen,,USA,26.2285,-97.654389
CAE,Columbia Metropolitan,Columbia,SC,USA,33.938833,-81.119528
DMA,Davis Monthan Afb,Tucson,,USA,32.166467,-110.883144
NPA,Pensacola Nas,Pensacola,,USA,30.352656,-87.318647
PNS,Pensacola Rgnl,Pensacola,,USA,30.473425,-87.186611
RDR,Grand Forks Afb,Red River,,USA,47.961098,-97.401194
HOU,William P Hobby,Houston,TX,USA,29.645419,-95.278889
BKF,Buckley Afb,Buckley,,USA,39.701668,-104.75166
ORT,Northway,Northway,,USA,62.961334,-141.929136
PAQ,Palmer Muni,Palmer,,USA,61.594914,-149.088711
PIT,Pittsburgh Intl,Pittsburgh,PA,USA,40.491467,-80.232872
BRW,Wiley Post Will Rogers Mem,Barrow,,USA,71.285446,-156.766003
EFD,Ellington Fld,Houston,,USA,29.607333,-95.15875
NUW,Whidbey Island Nas,Whidbey Island,,USA,48.351803,-122.655906
ALI,Alice Intl,Alice,,USA,27.740889,-98.026944
VAD,Moody Afb,Valdosta,,USA,30.967833,-83.193
MIA,Miami Intl,Miami,FL,USA,25.79325,-80.290556
SEA,Seattle Tacoma Intl,Seattle,WA,USA,47.449,-122.309306
CHA,Lovell Fld,Chattanooga,,USA,35.035278,-85.203808
BDR,Igor I Sikorsky Mem,Stratford,,USA,41.163472,-73.126167
JAN,Jackson Evers Intl,Jackson,,USA,32.311167,-90.075889
GLS,Scholes Intl At Galveston,Galveston,,USA,29.265322,-94.860406
LGB,Long Beach,Long Beach,,USA,33.817722,-118.151611
HDH,Dillingham,Dillingham,,USA,21.579475,-158.197281
IPT,Williamsport Rgnl,Williamsport,,USA,41.241836,-76.921094
IND,Indianapolis Intl,Indianapolis,IN,USA,39.717331,-86.294383
SZL,Whiteman Afb,Knobnoster,,USA,38.730306,-93.547864
AKC,Akron Fulton Intl,Akron,,USA,41.0375,-81.466917
GWO,Greenwood Leflore,Greenwood,,USA,33.494328,-90.084706
HPN,Westchester Co,White Plains,,USA,41.066959,-73.707575
FOK,Francis S Gabreski,West Hampton Beach,,USA,40.843656,-72.631789
JBR,Jonesboro Muni,Jonesboro,,USA,35.831708,-90.646417
TNX,Tonopah Test Range,Tonopah,,USA,37.798836,-116.78075
LNA,Palm Beach Co Park,West Palm Beach,,USA,26.593,-80.085056
NZY,North Island Nas,San Diego,,USA,32.699219,-117.21531
BIF,Biggs Aaf,El Paso,,USA,31.849528,-106.380039
YUM,Yuma Mcas Yuma Intl,Yuma,,USA,32.656578,-114.60598
CNM,Cavern City Air Terminal,Carlsbad,,USA,32.337472,-104.263278
DLH,Duluth Intl,Duluth,,USA,46.842091,-92.193649
BET,Bethel,Bethel,,USA,60.779778,-161.838
LOU,Bowman Fld,Louisville,,USA,38.228,-85.663722
FHU,Sierra Vista Muni Libby Aaf,Fort Huachuca,,USA,31.588472,-110.344389
LIH,Lihue,Lihue,,USA,21.975983,-159.338958
HUF,Terre Haute Intl Hulman Fld,Terre Haute,,USA,39.451464,-87.307561
HVR,Havre City Co,Havre,,USA,48.542983,-109.762342
MWH,Grant Co Intl,Grant County Airport,,USA,47.207708,-119.32019
MPV,Edward F Knapp State,Montpelier,,USA,44.203503,-72.562328
,San Nicolas Island Nolf,San Nicolas Island,,USA,33.239765,-119.45816
RIC,Richmond Intl,Richmond,VA,USA,37.505167,-77.319667
SHV,Shreveport Rgnl,Shreveport,,USA,32.446629,-93.8256
CDV,Merle K Mudhole Smith,Cordova,,USA,60.491778,-145.477556
ORF,Norfolk Intl,Norfolk,VA,USA,36.894611,-76.201222
BPT,Southeast Texas Rgnl,Beaumont,,USA,29.950833,-94.020694
SAV,Savannah Hilton Head Intl,Savannah,GA,USA,32.127583,-81.202139
HIF,Hill Afb,Ogden,,USA,41.123939,-111.973039
OME,Nome,Nome,,USA,64.512203,-165.445247
SPB,Scappoose Industrial Airpark,San Luis,,USA,45.771028,-122.861833
PIE,St Petersburg Clearwater Intl,St. Petersburg,,USA,27.910167,-82.687389
MNM,Menominee Marinette Twin Co,Macon,,USA,45.12665,-87.638443
CXO,Lone Star Executive,Conroe,,USA,30.351833,-95.414467
SCC,Deadhorse,Deadhorse,,USA,70.19475,-148.465167
SAT,San Antonio Intl,San Antonio,,USA,29.533694,-98.469778
ROC,Greater Rochester Intl,Rochester,NY,USA,43.118866,-77.672389
COF,Patrick Afb,Coco Beach,,USA,28.234922,-80.610125
TEB,Teterboro,Teterboro,,USA,40.850103,-74.060837
RCA,Ellsworth Afb,Rapid City,,USA,44.145042,-103.103567
RDU,Raleigh Durham Intl,Raleigh-durham,NC,USA,35.877639,-78.787472
DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.902375,-84.219375
ENA,Kenai Muni,Kenai,,USA,60.573111,-151.245
MLC,Mc Alester Rgnl,Mcalester,,USA,34.882403,-95.783463
IAG,Niagara Falls Intl,Niagara Falls,,USA,43.107333,-78.946194
CFD,Coulter Fld,Bryan,,USA,30.715694,-96.331361
,Wright Aaf,Wright,,USA,31.889097,-81.562333
PHF,Newport News Williamsburg Intl,Newport News,VA,USA,37.131894,-76.492989
ESF,Esler Rgnl,Alexandria,,USA,31.394903,-92.295772
LTS,Altus Afb,Altus,,USA,34.667067,-99.266681
TUS,Tucson Intl,Tucson,,USA,32.116083,-110.941028
MIB,Minot Afb,Minot,,USA,48.415572,-101.357661
BAB,Beale Afb,Marysville,,USA,39.136089,-121.436567
IKK,Greater Kankakee,Kankakee,,USA,41.071389,-87.846278
GSB,Seymour Johnson Afb,Goldsboro,,USA,35.339383,-77.960589
PVD,Theodore Francis Green State,Providence,RI,USA,41.732581,-71.420383
SBY,Salisbury Ocean City Wicomico Rgnl,Salisbury,,USA,38.340525,-75.510289
RIU,Rancho Murieta,Rancho Murieta,,USA,38.486778,-121.102778
BUR,Bob Hope,Burbank,,USA,34.200667,-118.358667
DTW,Detroit Metro Wayne Co,Detroit,MI,USA,42.212444,-83.353389
TPA,Tampa Intl,Tampa,FL,USA,27.975472,-82.53325
PMB,Pembina Muni,Pembina,,USA,48.942501,-97.240833
POE,Polk Aaf,Fort Polk,,USA,31.044833,-93.191667
EIL,Eielson Afb,Fairbanks,,USA,64.665667,-147.1015
HIB,Chisholm Hibbing,Hibbing,,USA,47.3866,-92.838994
LFK,Angelina Co,Lufkin,,USA,31.234014,-94.75
MAF,Midland Intl,Midland,,USA,31.942528,-102.201914
GRB,Austin Straubel Intl,Green Bay,,USA,44.485072,-88.129589
ADM,Ardmore Muni,Ardmore,,USA,34.300833,-97.008889
WRI,Mc Guire Afb,Wrightstown,,USA,40.015556,-74.591667
NKT,Cherry Point Mcas,Cherry Point,,USA,34.900872,-76.880733
SBO,Emanuel Co,Santa Barbara,,USA,32.609139,-82.369944
AGS,Augusta Rgnl At Bush Fld,Bush Field,,USA,33.369944,-81.9645
ISN,Sloulin Fld Intl,Williston,,USA,48.177939,-103.642347
LIT,Adams Fld,Little Rock,,USA,34.729444,-92.224306
SWF,Stewart Intl,Newburgh,,USA,41.504094,-74.104839
BDE,Baudette Intl,Baudette,,USA,48.728444,-94.612222
SAC,Sacramento Executive,Sacramento,,USA,38.512524,-121.49347
HOM,Homer,Homer,,USA,59.645556,-151.476583
TBN,Waynesville Rgnl Arpt At Forney Fld,Fort Leonardwood,,USA,37.741631,-92.140736
MGE,Dobbins Arb,Marietta,,USA,33.915382,-84.516319
SKA,Fairchild Afb,Spokane,,USA,47.615058,-117.655772
HTL,Roscommon Co,Houghton Lake,,USA,44.359806,-84.671112
PAM,Tyndall Afb,Panama City,,USA,30.069567,-85.575417
DFW,Dallas Fort Worth Intl,Dallas-Fort Worth,TX,USA,32.896828,-97.037997
MLB,Melbourne Intl,Melbourne,,USA,28.102753,-80.645258
TCM,Mc Chord Afb,Tacoma,,USA,47.137678,-122.476475
AUS,Austin Bergstrom Intl,Austin,TX,USA,30.194528,-97.669889
LCK,Rickenbacker Intl,Columbus,,USA,39.813786,-82.927822
,Sawyer Intl,Gwinn,,USA,46.353625,-87.395353
TYS,Mc Ghee Tyson,Knoxville,TN,USA,35.810972,-83.994028
HLR,Hood Aaf,Fort Hood,,USA,31.138731,-97.714469
STL,Lambert St Louis Intl,St. Louis,MO,USA,38.748697,-90.370028
MIV,Millville Muni,Millville,,USA,39.367806,-75.072222
SPS,Sheppard Afb Wichita Falls Muni,Wichita Falls,,USA,33.988797,-98.491894
LUK,Cincinnati Muni Lunken Fld,Cincinnati,,USA,39.103333,-84.418611
ATL,Hartsfield Jackson Atlanta Intl,Atlanta,GA,USA,33.636719,-84.428067
MER,Castle,Merced,,USA,37.380481,-120.568189
MCC,Mc Clellan Afld,Sacramento,,USA,38.667639,-121.400611
GRR,Gerald R Ford Intl,Grand Rapids,,USA,42.880833,-85.522806
INK,Winkler Co,Wink,,USA,31.779628,-103.201361
FAT,Fresno Yosemite Intl,Fresno,,USA,36.776194,-119.71814
VRB,Vero Beach Muni,Vero Beach,,USA,27.655556,-80.417944
IPL,Imperial Co,Imperial,,USA,32.834219,-115.578744
BNA,Nashville Intl,Nashville,TN,USA,36.124472,-86.678194
LRD,Laredo Intl,Laredo,,USA,27.54375,-99.461556
EDF,Elmendorf Afb,Anchorage,,USA,61.250986,-149.806503
OTZ,Ralph Wien Mem,Kotzebue,,USA,66.884678,-162.59855
AOO,Altoona Blair Co,Altoona,,USA,40.296372,-78.320022
DYS,Dyess Afb,Abilene,,USA,32.420756,-99.8546
ELD,South Arkansas Rgnl At Goodwin Fld,El Dorado,,USA,33.220972,-92.813278
LGA,La Guardia,New York,NY,USA,40.777245,-73.872608
TLH,Tallahassee Rgnl,Tallahassee,,USA,30.396528,-84.350333
DPA,Dupage,West Chicago,,USA,41.907778,-88.248611
ACT,Waco Rgnl,Waco,,USA,31.611289,-97.230519
AUG,Augusta State,Augusta,,USA,44.320647,-69.797317
INJ,Hillsboro Muni,Hillsboro,,USA,32.083486,-97.097228
NIP,Jacksonville Nas,Jacksonville,,USA,30.235834,-81.680556
MKL,Mc Kellar Sipes Rgnl,Jackson,,USA,35.599889,-88.915611
MKK,Molokai,Molokai,,USA,21.152886,-157.096256
FTK,Godman Aaf,Fort Knox,,USA,37.907058,-85.972106
,New River Mcas,Jacksonville,,USA,34.708417,-77.439667
SJT,San Angelo Rgnl Mathis Fld,San Angelo,,USA,31.35775,-100.496306
CXL,Calexico Intl,Calexico,,USA,32.669502,-115.51333
CIC,Chico Muni,Chico,,USA,39.795383,-121.858422
BTV,Burlington Intl,Burlington,VT,USA,44.471861,-73.153278
JAX,Jacksonville Intl,Jacksonville,FL,USA,30.494056,-81.687861
DRO,Durango La Plata Co,Durango,,USA,37.151516,-107.75377
IAD,Washington Dulles Intl,Washington,VA,USA,38.944533,-77.455811
CLL,Easterwood Fld,College Station,,USA,30.588583,-96.363833
SFF,Felts Fld,Spokane,,USA,47.682819,-117.322558
MKE,General Mitchell Intl,Milwaukee,WI,USA,42.947222,-87.896583
ABI,Abilene Rgnl,Abilene,,USA,32.411319,-99.681897
COU,Columbia Rgnl,Columbia,,USA,38.818094,-92.219631
PDX,Portland Intl,Portland,OR,USA,45.588722,-122.5975
TNT,Dade Collier Training And Transition,Miami,,USA,25.861806,-80.897
PBI,Palm Beach Intl,West Palm Beach,FL,USA,26.683161,-80.095589
FTW,Fort Worth Meacham Intl,Fort Worth,,USA,32.819778,-97.362444
OGS,Ogdensburg Intl,Ogdensburg,,USA,44.681854,-75.4655
FMH,Otis Angb,Falmouth,,USA,41.658439,-70.521417
BFI,Boeing Fld King Co Intl,Seattle,,USA,47.53,-122.301947
SKF,Lackland Afb Kelly Fld Annex,San Antonio,,USA,29.384228,-98.581108
HNL,Honolulu Intl,Honolulu,HI,USA,21.318681,-157.922428
DSM,Des Moines Intl,Des Moines,,USA,41.533972,-93.663083
EWN,Craven Co Rgnl,New Bern,,USA,35.072972,-77.042944
SAN,San Diego Intl,San Diego,CA,USA,32.733556,-117.189667
MLU,Monroe Rgnl,Monroe,,USA,32.510864,-92.037689
SSC,Shaw Afb,Sumter,,USA,33.972719,-80.470564
ONT,Ontario Intl,Ontario,,USA,34.056,-117.601194
GVT,Majors,Greenvile,,USA,33.067839,-96.065333
ROW,Roswell Intl Air Center,Roswell,,USA,33.301556,-104.530556
DET,Coleman A Young Muni,Detroit,,USA,42.409195,-83.009861
BRO,Brownsville South Padre Island Intl,Brownsville,,USA,25.906833,-97.425861
DHN,Dothan Rgnl,Dothan,,USA,31.321339,-85.449628
WWD,Cape May Co,Wildwood,,USA,39.008507,-74.908275
NFL,Fallon Nas,Fallon,,USA,39.416584,-118.70098
MTC,Selfridge Angb,Mount Clemens,,USA,42.608333,-82.8355
FMN,Four Corners Rgnl,Farmington,,USA,36.74125,-108.229944
CRP,Corpus Christi Intl,Corpus Christi,,USA,27.770361,-97.501222
SYR,Syracuse Hancock Intl,Syracuse,NY,USA,43.111187,-76.106311
NQX,Key West Nas,Key West,,USA,24.575834,-81.688889
MDW,Chicago Midway Intl,Chicago,IL,USA,41.785972,-87.752417
SJC,Norman Y Mineta San Jose Intl,San Jose,,USA,37.3626,-121.929022
HOB,Lea Co Rgnl,Hobbs,,USA,32.687528,-103.217028
PNE,Northeast Philadelphia,Philadelphia,,USA,40.081944,-75.010586
DEN,Denver Intl,Denver,CO,USA,39.861656,-104.673178
PHL,Philadelphia Intl,Philadelphia,PA,USA,39.871944,-75.241139
SUX,Sioux Gateway Col Bud Day Fld,Sioux City,,USA,42.402603,-96.384367
MCN,Middle Georgia Rgnl,Macon,,USA,32.69285,-83.649211
TCS,Truth Or Consequences Muni,Truth Or Consequences,,USA,33.236944,-107.27175
PMD,Palmdale Rgnl Usaf Plt 42,Palmdale,,USA,34.629391,-118.08456
RND,Randolph Afb,San Antonio,,USA,29.529675,-98.2789
NJK,El Centro Naf,El Centro,,USA,32.829222,-115.671667
CMH,Port Columbus Intl,Columbus,OH,USA,39.997972,-82.891889
FYV,Drake Fld,Fayetteville,,USA,36.005094,-94.170059
FSI,Henry Post Aaf,Fort Sill,,USA,34.649833,-98.402167
PNM,Princeton Muni,Princeton,,USA,45.559868,-93.608217
FFO,Wright Patterson Afb,Dayton,,USA,39.826111,-84.048332
GAL,Edward G Pitka Sr,Galena,,USA,64.736178,-156.937417
,Chandler Muni,Chandler,,USA,33.269111,-111.811111
MWL,Mineral Wells,Mineral Wells,,USA,32.781606,-98.060175
IAB,Mc Connell Afb,Wichita,,USA,37.621853,-97.268192
NBG,New Orleans Nas Jrb,New Orleans,,USA,29.825333,-90.035
BFT,Beaufort,Beaufort,,USA,32.477411,-80.723161
